ADMIT_PAIN_NO,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353279,0.4193,0.3274,0.4304,0.4478
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706558,0.8386,0.6548,0.8608,0.8956
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.059837,1.2579,0.9822,1.2912,1.3434
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413116,1.6772,1.3096,1.7216,1.7912
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.766395,2.0965,1.637,2.152,2.239
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119674,2.5158,1.9644,2.5824,2.6868
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.472953,2.9351,2.2918,3.0128,3.1346
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826232,3.3544,2.6192,3.4432,3.5824
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.179511,3.7737,2.9466,3.8736,4.0302
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53279,4.193,3.274,4.304,4.478
